Station_ID,Year,Mo,Da,Temp,Max,Min,Prcp,Station_Name,Latitude,Longitude,zip_code,city,county
720278,2017,08,09,71.6,82.4,62.6,0,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2006,06,16,70.5,86,55.4,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2005,07,09,75.1,89.6,62.6,0,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2011,08,03,80.5,93.2,73.4,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2017,05,19,76.5,87.8,68,99.99,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2013,03,24,35.2,42.8,30.2,99.99,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2023,05,14,69.2,77.5,63,99.99,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2022,07,25,81.2,93.7,71.8,0.04,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2014,05,14,73.9,87.8,62.6,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2022,09,03,77.1,91.8,59,0,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2008,06,07,85.5,98.6,71.6,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2013,05,01,56.7,60.8,53.6,99.99,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2016,10,16,55.7,73.4,42.8,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2014,07,26,73.6,86,64.4,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2008,11,02,52.6,77,35.6,0,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2007,12,18,31.8,44.6,19.4,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2013,11,19,47.7,53.6,35.6,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2018,10,05,72.4,84.2,66.2,0,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2011,11,03,44,62.6,32,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
